Fecha,Duración (días),Evento,Tipología,Web,Entidades colaboradoras,Responsables
03/07/2015,1,Colaboración con el editatón de Wikidata en San Sebastián,Concurso de edición,https://web.archive.org/web/20150919082048/https://sites.google.com/site/donostiasansebastianenwikidata/,"Wikimedia España, Universität Koblenz-Landau, Universidad del País Vasco, Universidad de Zaragoza, Wikimedia Deutschland",2
15/04/2016,45,Participación en el concurso Europeana Art History Challenge,Concurso de edición,https://www.wikidata.org/wiki/Wikidata:Europeana_Art_History_Challenge,"Europeana, Wikimedia CEE",2
21/05/2016,1,I Pentatlón Wikimedia,Concurso de edición,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/I_Pentatl%C3%B3n_Wikimedia_Espa%C3%B1a,"Wikimedia España, Universidad de Valencia, Ayuntamiento de Valencia",2
20/05/2017,1,II Pentatlón Wikimedia,Concurso de edición,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/II_Pentatl%C3%B3n_Wikimedia_Espa%C3%B1a,"Wikimedia España, Universidad de Valencia",2
29/11/2017,1,Editatón de Wikidata en el marco de la Global Legislative Openness Week,Concurso de edición,https://www.wikidata.org/wiki/Wikidata:Events/GLOW_Edithaton,"Wikimedia España, mySociety ",2
24/02/2018,1,Datatón Cervantes,Concurso de edición,https://www.wikidata.org/wiki/Wikidata:Events/Madrid/2018-02-24,"Wikimedia España, Fundación Biblioteca Virtual Miguel de Cervantes",3
03/03/2018,2,"Participación en el Open Data Day, con la presentación sobre ""Cómo explotar Wikidata, la base de conocimiento libre que cualquiera puede editar""",Eventos formativos y de comunicación,https://www.medialab-matadero.es/actividades/dia-de-los-datos-abiertos,"Wikimedia España, DataLAB Madrid, OEG-UPM, ODI Madrid",1
21/05/2018,7,III Pentatlón Wikimedia,Concurso de edición,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/III_Pentatl%C3%B3n_Wikimedia_Espa%C3%B1a,Wikimedia España,2
18/10/2018,2,Hackatón Wikidata,Concurso de edición,https://www.wikidata.org/wiki/Wikidata:Sixth_Birthday/Hackathon_in_Alicante,"Wikimedia España, Universidad de Alicante",4
25/10/2018,1,Wikidata GLAM Workshop,Eventos formativos y de comunicación,,"Wikimedia España, Archivo General de la Región de Murcia",1
29/10/2018,1,Charla y taller de Wikidata en la Universidad de Oviedo,Eventos formativos y de comunicación,,"Wikimedia España, Universidad de Oviedo",3
01/12/2018,1,Datatón Every Politician,Concurso de edición,,Wikimedia España,2
25/01/2019,1,Taller de Wikidata para SEDIC,Eventos formativos y de comunicación,http://web.archive.org/web/20190517170412/https://talleres.sedic.es/2018/12/13/taller-de-edicion-y-consulta-de-datos-abiertos-en-wikidata/,"Wikimedia España, SEDIC",1
31/01/2019,1,Taller sobre Creación y explotación de contenidos culturales con Wikidata,Eventos formativos y de comunicación,https://cobdcv.es/creacio-i-explotacio-continguts-culturals-amb-wikidata/,"Wikimedia España, COBDCV",1
15/03/2019,1,Taller sobre Wikidata en la facultad de Documentación de la UCM,Eventos formativos y de comunicación,,"Wikimedia España, Universidad Complutense de Madrid",1
29/03/2019,2,Taller Wikidata GLAM,Eventos formativos y de comunicación,https://www.aldee.eus/es/cursos/taller-wikidata-glam-como-saberlo-todo-sobre-wikidata-la-maquina-de-conocimiento-para-wikipedia-/ik-242/,"Wikimedia España, ALDEE",1
26/04/2019,1,Seminario sobre Wikidata en la Facultad de Traducción y Documentación de la Universidad de Salamanca,Eventos formativos y de comunicación,https://diarium.usal.es/dbd/seminario-wikidata/,"Wikimedia España, Universidad de Salamanca",1
07/06/2019,2,Participación en Wikidata Days 2019 con una presentación del proyecto Wikidata-IATEXT,Eventos formativos y de comunicación,http://web.archive.org/web/20190529123108/http://libraries.fe.unl.pt/index.php/wikidata-days-2019-share-collaborate-transform-shaping-data-in-a-changing-world,"Wikimedia Portugal,Teresa e Alexandre Soares dos Santos Library, Wikimedia España",1
