Fecha,Duración (días),Evento,Países,Participantes,Usuarios nuevos,Elementos editados,Elementos nuevos,Web
03/07/2015,1,Colaboración con el editatón de Wikidata en San Sebastián,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,https://web.archive.org/web/20150919082048/https://sites.google.com/site/donostiasansebastianenwikidata/
15/04/2016,45,Participación en el concurso Europeana Art History Challenge,30,61,Sin datos,846,Sin datos,https://www.wikidata.org/wiki/Wikidata:Europeana_Art_History_Challenge
21/05/2016,1,I Pentatlón Wikimedia,1,10,2,60,49,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/I_Pentatl%C3%B3n_Wikimedia_Espa%C3%B1a
20/05/2017,1,II Pentatlón Wikimedia,1,9,0,53,45,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/II_Pentatl%C3%B3n_Wikimedia_Espa%C3%B1a
29/11/2017,1,Editatón de Wikidata en el marco de la Global Legislative Openness Week,1,6,0,350,0,https://www.wikidata.org/wiki/Wikidata:Events/GLOW_Edithaton
24/02/2018,1,Datatón Cervantes,1,25,10,1189,0,https://www.wikidata.org/wiki/Wikidata:Events/Madrid/2018-02-24
21/05/2018,7,III Pentatlón Wikimedia,1,5,0,40,40,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/III_Pentatl%C3%B3n_Wikimedia_Espa%C3%B1a
18/10/2018,2,Hackatón Wikidata,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,https://www.wikidata.org/wiki/Wikidata:Sixth_Birthday/Hackathon_in_Alicante
01/12/2018,1,Datatón Every Politician,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,
01/05/2024,31,Concurso Coordinate Me,16,3228,1449,129102,15261,https://www.wikidata.org/wiki/Wikidata:Events/Coordinate_Me_2024
01/05/2025,31,Concurso Coordinate Me,28,1384,553,568546,46681,https://www.wikidata.org/wiki/Wikidata:Events/Coordinate_Me_2025
13/03/2026,1,Editatón Visibiliza-T,1,6,4,30,24,https://es.wikipedia.org/wiki/Wikipedia:Encuentros/Taller_de_Edici%C3%B3n_Visibiliza-T
01/05/2026,31,Concurso Coordinate Me,28,1646,719,1062777,22551,https://www.wikidata.org/wiki/Wikidata:Events/Coordinate_Me_2026
